bottle,n,p,np,ntrt,nfac,nstand,p.s,np.s,n.s,chla.init,nh4.init,srp.init,day1to3growth,day1to2growth,day2to3growth,day1to2srp,day2to3srp,day1to3srp,day1to2nh4,day2to3nh4,day1to3nh4,day,hrs,chla,nh4,srp,growth
1,50,9,12.28529521,50,c,0.6091237526412396,-0.046849817840802846,-0.1330640969200306,0.609,0.081666667,1.964077316,5.257665455,0.003180212013909526,0,0.006329113924050633,1.6815724114088675,-1.36141905907173,0.1525498422507032,0.38181887466167347,1.4903127341772153,0.9388076619831232,1,23.7,0.1,2.44670927,10.42474835,7.7355835443038e-4
1,50,9,12.28529521,50,c,0.6091237526412396,-0.046849817840802846,-0.1330640969200306,0.609,0.081666667,1.964077316,5.257665455,0.003180212013909526,0,0.006329113924050633,1.6815724114088675,-1.36141905907173,0.1525498422507032,0.38181887466167347,1.4903127341772153,0.9388076619831232,2,23.46666667,0.1,11.40672553,49.88564761,0
1,50,9,12.28529521,50,c,0.6091237526412396,-0.046849817840802846,-0.1330640969200306,0.609,0.081666667,1.964077316,5.257665455,0.003180212013909526,0,0.006329113924050633,1.6815724114088675,-1.36141905907173,0.1525498422507032,0.38181887466167347,1.4903127341772153,0.9388076619831232,3,23.7,0.25,46.72713733,17.62001591,0.006329113924050633
2,30,22,3.015481552,30,b,0,0.8272032722578386,-0.3056759015619199,0,0.081666667,1.964077316,5.257665455,0.0016985138004246287,0.0017057569296375264,0.0016913319238900638,0.3498783248187633,-0.33727991589852013,0.004840269766454347,0.5320097648187634,0.7172179069767443,0.6250070591295118,1,23.86666667,0.05,0.080701655,6.420426943,-0.0013268156562392713
2,30,22,3.015481552,30,b,0,0.8272032722578386,-0.3056759015619199,0,0.081666667,1.964077316,5.257665455,0.0016985138004246287,0.0017057569296375264,0.0016913319238900638,0.3498783248187633,-0.33727991589852013,0.004840269766454347,0.5320097648187634,0.7172179069767443,0.6250070591295118,2,23.45,0.09,12.55633064,14.62507366,0.0017057569296375264
2,30,22,3.015481552,30,b,0,0.8272032722578386,-0.3056759015619199,0,0.081666667,1.964077316,5.257665455,0.0016985138004246287,0.0017057569296375264,0.0016913319238900638,0.3498783248187633,-0.33727991589852013,0.004840269766454347,0.5320097648187634,0.7172179069767443,0.6250070591295118,3,23.65,0.13,29.51853414,6.648403649,0.0016913319238900638
3,30,13,5.103122626,30,b,0,0.22208959449724067,-0.26680225139780006,0,0.081666667,1.964077316,5.257665455,0.0036131774707757703,0.0017069701282655717,0.005504587155186367,-0.5246448936592667,0.5195495212957587,-5.133009564292944e-4,0.45115446599589676,1.279177058393906,0.8667789837407015,1,24.08333333,0.05,0.629374455,19.23425545,-0.0013148789067563846
3,30,13,5.103122626,30,b,0,0.22208959449724067,-0.26680225139780006,0,0.081666667,1.964077316,5.257665455,0.0036131774707757703,0.0017069701282655717,0.005504587155186367,-0.5246448936592667,0.5195495212957587,-5.133009564292944e-4,0.45115446599589676,1.279177058393906,0.8667789837407015,2,23.43333333,0.09,11.20142744,6.940076777,0.0017069701282655717
3,30,13,5.103122626,30,b,0,0.22208959449724067,-0.26680225139780006,0,0.081666667,1.964077316,5.257665455,0.0036131774707757703,0.0017069701282655717,0.005504587155186367,-0.5246448936592667,0.5195495212957587,-5.133009564292944e-4,0.45115446599589676,1.279177058393906,0.8667789837407015,3,23.61666667,0.22,41.41132564,19.21010464,0.005504587155186367
4,50,22,5.025802587,50,c,0.6091237526412396,0.8272032722578386,-0.2682420162042105,0.609,0.081666667,1.964077316,5.257665455,0.0038284296346098243,0.0012784090907274987,0.006369426751592357,0.12650181049339468,-0.2309594067091295,-0.05254558400194642,0.5394574118267816,0.8751164781316346,0.707584409577626,1,23.95,0.05,0.100490944,5.779735518,-0.0013221990396659706
4,50,22,5.025802587,50,c,0.6091237526412396,0.8272032722578386,-0.2682420162042105,0.609,0.081666667,1.964077316,5.257665455,0.0038284296346098243,0.0012784090907274987,0.006369426751592357,0.12650181049339468,-0.2309594067091295,-0.05254558400194642,0.5394574118267816,0.8751164781316346,0.707584409577626,2,23.46666667,0.08,12.75975821,8.748311338,0.0012784090907274987
4,50,22,5.025802587,50,c,0.6091237526412396,0.8272032722578386,-0.2682420162042105,0.609,0.081666667,1.964077316,5.257665455,0.0038284296346098243,0.0012784090907274987,0.006369426751592357,0.12650181049339468,-0.2309594067091295,-0.05254558400194642,0.5394574118267816,0.8751164781316346,0.707584409577626,3,23.55,0.23,33.36875127,3.30921731,0.006369426751592357
5,50,1,110.5676569,50,c,0.6091237526412396,-0.5847286425168899,1.6970369646193222,0.609,0.081666667,1.964077316,5.257665455,0.0021291696241489237,8.534850641327861e-4,0.003399433428243545,-0.4570550494960249,-0.024455604734342145,-0.24029478831657836,0.2963399031715988,0.4584369123878806,0.377560973793834,1,24.66666667,0.05,12.24478243,15.3901069,-0.0012837837971238128
5,50,1,110.5676569,50,c,0.6091237526412396,-0.5847286425168899,1.6970369646193222,0.609,0.081666667,1.964077316,5.257665455,0.0021291696241489237,8.534850641327861e-4,0.003399433428243545,-0.4570550494960249,-0.024455604734342145,-0.24029478831657836,0.2963399031715988,0.4584369123878806,0.377560973793834,2,23.43333333,0.07,19.18901416,4.679783575,8.534850641327861e-4
5,50,1,110.5676569,50,c,0.6091237526412396,-0.5847286425168899,1.6970369646193222,0.609,0.081666667,1.964077316,5.257665455,0.0021291696241489237,8.534850641327861e-4,0.003399433428243545,-0.4570550494960249,-0.024455604734342145,-0.24029478831657836,0.2963399031715988,0.4584369123878806,0.377560973793834,3,23.53333333,0.15,29.97756283,4.104261677,0.003399433428243545
6,30,1,66.34059414,30,b,0,-0.5847286425168899,0.8734914869359238,0,0.081666667,1.964077316,5.257665455,0.002981895633652822,0.0012811387898532184,0.004674220963834875,-0.3145480410086053,-0.15888331633978514,-0.2365222720340788,0.16333480157105554,0.47647043556323937,0.3202916759531416,1,24.71666667,0.05,0.562382544,12.34682263,-0.0012811867968602578
6,30,1,66.34059414,30,b,0,-0.5847286425168899,0.8734914869359238,0,0.081666667,1.964077316,5.257665455,0.002981895633652822,0.0012811387898532184,0.004674220963834875,-0.3145480410086053,-0.15888331633978514,-0.2365222720340788,0.16333480157105554,0.47647043556323937,0.3202916759531416,2,23.41666667,0.08,4.387139148,4.981156002,0.0012811387898532184
6,30,1,66.34059414,30,b,0,-0.5847286425168899,0.8734914869359238,0,0.081666667,1.964077316,5.257665455,0.002981895633652822,0.0012811387898532184,0.004674220963834875,-0.3145480410086053,-0.15888331633978514,-0.2365222720340788,0.16333480157105554,0.47647043556323937,0.3202916759531416,3,23.53333333,0.19,15.60007673,1.242101958,0.004674220963834875
7,50,13,8.505204377,50,c,0.6091237526412396,0.22208959449724067,-0.2034525992640108,0.609,0.081666667,1.964077316,5.257665455,0.005110007097957417,0.0015647226318015253,0.008640226615954705,0.057161624517377205,-0.11445261528533324,-0.02882819329720769,0.45062885720492585,0.9039135706662766,0.6777537739570978,1,24.4,0.063333333,-0.045270459,5.299216949,-7.513661475409834e-4
7,50,13,8.505204377,50,c,0.6091237526412396,0.22208959449724067,-0.2034525992640108,0.609,0.081666667,1.964077316,5.257665455,0.005110007097957417,0.0015647226318015253,0.008640226615954705,0.057161624517377205,-0.11445261528533324,-0.02882819329720769,0.45062885720492585,0.9039135706662766,0.6777537739570978,2,23.43333333,0.1,10.51446576,6.63870435,0.0015647226318015253
7,50,13,8.505204377,50,c,0.6091237526412396,0.22208959449724067,-0.2034525992640108,0.609,0.081666667,1.964077316,5.257665455,0.005110007097957417,0.0015647226318015253,0.008640226615954705,0.057161624517377205,-0.11445261528533324,-0.02882819329720769,0.45062885720492585,0.9039135706662766,0.6777537739570978,3,23.53333333,0.303333333,31.78656512,3.945252804,0.008640226615954705
8,10,13,1.701040875,10,a,-0.6091237526412396,0.22208959449724067,-0.3301519035315894,-0.609,0.081666667,1.964077316,5.257665455,0.003194888178913738,8.547008547008549e-4,0.005520169851380042,0.13568725722222222,-0.010655548619957517,0.06228207985090522,0.4613216981623932,0.6159590394904458,0.5388873933333332,1,24.71666667,0.06,0.021813753,7.381464081,-8.766014968473903e-4
8,10,13,1.701040875,10,a,-0.6091237526412396,0.22208959449724067,-0.3301519035315894,-0.609,0.081666667,1.964077316,5.257665455,0.003194888178913738,8.547008547008549e-4,0.005520169851380042,0.13568725722222222,-0.010655548619957517,0.06228207985090522,0.4613216981623932,0.6159590394904458,0.5388873933333332,2,23.4,0.08,10.81674149,10.5565459,8.547008547008549e-4
8,10,13,1.701040875,10,a,-0.6091237526412396,0.22208959449724067,-0.3301519035315894,-0.609,0.081666667,1.964077316,5.257665455,0.003194888178913738,8.547008547008549e-4,0.005520169851380042,0.13568725722222222,-0.010655548619957517,0.06228207985090522,0.4613216981623932,0.6159590394904458,0.5388873933333332,3,23.55,0.21,25.32257687,10.30560773,0.005520169851380042
9,10,22,1.005160517,10,a,-0.6091237526412396,0.8272032722578386,-0.34310978691962934,-0.609,0.081666667,1.964077316,5.257665455,0.0022009229605963795,9.978617107623466e-4,0.0033946251763232503,0.5630552961458383,-0.5345191891747498,0.012125114227902025,0.12365454951156873,0.4700931954073419,0.2975502702662407,1,24.81666667,0.036666667,-0.210525789,3.216969817,-0.0018132975148672534
9,10,22,1.005160517,10,a,-0.6091237526412396,0.8272032722578386,-0.34310978691962934,-0.609,0.081666667,1.964077316,5.257665455,0.0022009229605963795,9.978617107623466e-4,0.0033946251763232503,0.5630552961458383,-0.5345191891747498,0.012125114227902025,0.12365454951156873,0.4700931954073419,0.2975502702662407,2,23.38333333,0.06,2.68092976,16.38307949,9.978617107623466e-4
9,10,22,1.005160517,10,a,-0.6091237526412396,0.8272032722578386,-0.34310978691962934,-0.609,0.081666667,1.964077316,5.257665455,0.0022009229605963795,9.978617107623466e-4,0.0033946251763232503,0.5630552961458383,-0.5345191891747498,0.012125114227902025,0.12365454951156873,0.4700931954073419,0.2975502702662407,3,23.56666667,0.14,13.7594594,3.78624393,0.0033946251763232503
10,10,1,22.11353138,10,a,-0.6091237526412396,-0.5847286425168899,0.04994600925252557,-0.609,0.081666667,1.964077316,5.257665455,8.516678496595694e-4,-4.2765502500750614e-4,0.0021201413430558505,0.11730990181287385,-0.11279834236223298,0.0017658402415565548,0.04019425484535913,0.3803182224707164,0.21098042027835065,1,25,0.05,-0.172664006,4.498352667,-0.0012666666799999997
10,10,1,22.11353138,10,a,-0.6091237526412396,-0.5847286425168899,0.04994600925252557,-0.609,0.081666667,1.964077316,5.257665455,8.516678496595694e-4,-4.2765502500750614e-4,0.0021201413430558505,0.11730990181287385,-0.11279834236223298,0.0017658402415565548,0.04019425484535913,0.3803182224707164,0.21098042027835065,2,23.38333333,0.04,0.767211653,7.241449204,-4.2765502500750614e-4
10,10,1,22.11353138,10,a,-0.6091237526412396,-0.5847286425168899,0.04994600925252557,-0.609,0.081666667,1.964077316,5.257665455,8.516678496595694e-4,-4.2765502500750614e-4,0.0021201413430558505,0.11730990181287385,-0.11279834236223298,0.0017658402415565548,0.04019425484535913,0.3803182224707164,0.21098042027835065,3,23.58333333,0.09,9.736383065,4.581288297,0.0021201413430558505
11,30,9,7.371177127,30,b,0,-0.046849817840802846,-0.22456914996906696,0,0.081666667,1.964077316,5.257665455,0.0031937544362233864,8.553100500150123e-4,0.005512367491945212,0.2027069372919041,0.16681725097764202,0.18468567890485246,0.24112634188754475,0.6131175096696986,0.42791395807351507,1,24.8,0.05,-0.285437108,3.857661242,-0.0012768817338709676
11,30,9,7.371177127,30,b,0,-0.046849817840802846,-0.22456914996906696,0,0.081666667,1.964077316,5.257665455,0.0031937544362233864,8.553100500150123e-4,0.005512367491945212,0.2027069372919041,0.16681725097764202,0.18468567890485246,0.24112634188754475,0.6131175096696986,0.42791395807351507,2,23.38333333,0.07,5.352900519,8.597625125,8.553100500150123e-4
11,30,9,7.371177127,30,b,0,-0.046849817840802846,-0.22456914996906696,0,0.081666667,1.964077316,5.257665455,0.0031937544362233864,8.553100500150123e-4,0.005512367491945212,0.2027069372919041,0.16681725097764202,0.18468567890485246,0.24112634188754475,0.6131175096696986,0.42791395807351507,3,23.58333333,0.2,19.81225512,12.53173196,0.005512367491945212
12,10,2,11.05676569,10,a,-0.6091237526412396,-0.517493789432379,-0.15594036016832402,-0.609,0.081666667,1.964077316,5.257665455,0.0017045454546665163,4.2765502500750587e-4,0.0029723991507431,0.3912107189296095,-0.19546983855626326,0.09682874883500206,0.027189883068736972,0.25070579834394907,0.13934470846160119,1,25.05,0.05,0.55608763,3.216969817,-0.0012641384031936125
12,10,2,11.05676569,10,a,-0.6091237526412396,-0.517493789432379,-0.15594036016832402,-0.609,0.081666667,1.964077316,5.257665455,0.0017045454546665163,4.2765502500750587e-4,0.0029723991507431,0.3912107189296095,-0.19546983855626326,0.09682874883500206,0.027189883068736972,0.25070579834394907,0.13934470846160119,2,23.38333333,0.06,1.191877729,12.36478046,4.2765502500750587e-4
12,10,2,11.05676569,10,a,-0.6091237526412396,-0.517493789432379,-0.15594036016832402,-0.609,0.081666667,1.964077316,5.257665455,0.0017045454546665163,4.2765502500750587e-4,0.0029723991507431,0.3912107189296095,-0.19546983855626326,0.09682874883500206,0.027189883068736972,0.25070579834394907,0.13934470846160119,3,23.55,0.13,7.09599928,7.761465762,0.0029723991507431
13,10,4,5.528382845,10,a,-0.6091237526412396,-0.38302408326335724,-0.2588835448787488,-0.609,0.081666667,1.964077316,5.257665455,0.0025577264651823997,8.547008547008546e-4,0.0042523033303682066,0.09511672944444446,0.1662657913159085,0.13077972280420752,0.07389088521367522,0.41303072303146265,0.24388247000753943,1,25.13333333,0.04,1.731741218,3.05679696,-0.0016578249471694729
13,10,4,5.528382845,10,a,-0.6091237526412396,-0.38302408326335724,-0.2588835448787488,-0.609,0.081666667,1.964077316,5.257665455,0.0025577264651823997,8.547008547008546e-4,0.0042523033303682066,0.09511672944444446,0.1662657913159085,0.13077972280420752,0.07389088521367522,0.41303072303146265,0.24388247000753943,2,23.4,0.06,3.460787932,5.282528429,8.547008547008546e-4
13,10,4,5.528382845,10,a,-0.6091237526412396,-0.38302408326335724,-0.2588835448787488,-0.609,0.081666667,1.964077316,5.257665455,0.0025577264651823997,8.547008547008546e-4,0.0042523033303682066,0.09511672944444446,0.1662657913159085,0.13077972280420752,0.07389088521367522,0.41303072303146265,0.24388247000753943,3,23.51666667,0.16,13.17389377,9.192545622,0.0042523033303682066
14,50,4,27.64191423,50,c,0.6091237526412396,-0.38302408326335724,0.1528891940560546,0.609,0.081666667,1.964077316,5.257665455,0.0034090909093330317,0.0012829650750225182,0.005520169851380042,0.09802443204533494,0.4133794855626327,0.25626189321422316,0.4825866915014379,0.5391147583864118,0.51095109438288,1,24.98333333,0.05,1.909272552,1.935586966,-0.0012675116879609753
14,50,4,27.64191423,50,c,0.6091237526412396,-0.38302408326335724,0.1528891940560546,0.609,0.081666667,1.964077316,5.257665455,0.0034090909093330317,0.0012829650750225182,0.005520169851380042,0.09802443204533494,0.4133794855626327,0.25626189321422316,0.4825866915014379,0.5391147583864118,0.51095109438288,2,23.38333333,0.08,13.19375802,4.227724935,0.0012829650750225182
14,50,4,27.64191423,50,c,0.6091237526412396,-0.38302408326335724,0.1528891940560546,0.609,0.081666667,1.964077316,5.257665455,0.0034090909093330317,0.0012829650750225182,0.005520169851380042,0.09802443204533494,0.4133794855626327,0.25626189321422316,0.4825866915014379,0.5391147583864118,0.51095109438288,3,23.55,0.21,25.88991058,13.96281182,0.005520169851380042
15,10,9,2.457059042,10,a,-0.6091237526412396,-0.046849817840802846,-0.316074203055345,-0.609,0.081666667,1.964077316,5.257665455,0.0023462495558013684,4.282655246252677e-4,0.004249291785304431,-0.4679835560599572,-0.1574686999514828,-0.31211900689741334,0.14342333884368308,0.36887793362165405,0.2565914468436965,1,25.06666667,0.04,1.095579578,16.51131689,-0.001662234055630022
15,10,9,2.457059042,10,a,-0.6091237526412396,-0.046849817840802846,-0.316074203055345,-0.609,0.081666667,1.964077316,5.257665455,0.0023462495558013684,4.282655246252677e-4,0.004249291785304431,-0.4679835560599572,-0.1574686999514828,-0.31211900689741334,0.14342333884368308,0.36887793362165405,0.2565914468436965,2,23.35,0.05,4.44451454,5.583900856,4.282655246252677e-4
15,10,9,2.457059042,10,a,-0.6091237526412396,-0.046849817840802846,-0.316074203055345,-0.609,0.081666667,1.964077316,5.257665455,0.0023462495558013684,4.282655246252677e-4,0.004249291785304431,-0.4679835560599572,-0.1574686999514828,-0.31211900689741334,0.14342333884368308,0.36887793362165405,0.2565914468436965,3,23.53333333,0.15,13.12544191,1.878137451,0.004249291785304431
16,10,17,1.300795964,10,a,-0.6091237526412396,0.4910290068352842,-0.3376048037661933,-0.609,0.081666667,1.964077316,5.257665455,0.0027718550106609805,4.282655246252677e-4,0.005095541401273886,0.01742656068522483,0.5867729639065817,0.30331372051172706,0.1949689590578158,0.3823939956687898,0.2890811043070362,1,25.25,0.04,-0.255857782,5.779735518,-0.0016501650297029702
16,10,17,1.300795964,10,a,-0.6091237526412396,0.4910290068352842,-0.3376048037661933,-0.609,0.081666667,1.964077316,5.257665455,0.0027718550106609805,4.282655246252677e-4,0.005095541401273886,0.01742656068522483,0.5867729639065817,0.30331372051172706,0.1949689590578158,0.3823939956687898,0.2890811043070362,2,23.35,0.05,4.296667412,6.18664571,4.282655246252677e-4
16,10,17,1.300795964,10,a,-0.6091237526412396,0.4910290068352842,-0.3376048037661933,-0.609,0.081666667,1.964077316,5.257665455,0.0027718550106609805,4.282655246252677e-4,0.005095541401273886,0.01742656068522483,0.5867729639065817,0.30331372051172706,0.1949689590578158,0.3823939956687898,0.2890811043070362,3,23.55,0.17,13.30204601,20.00514901,0.005095541401273886
17,50,2,55.28382845,50,c,0.6091237526412396,-0.517493789432379,0.6676051175150743,0.609,0.081666667,1.964077316,5.257665455,0.0023487544485657477,0.0017094017094017092,0.0029871977244647512,0.020632621153846148,-0.1392045842587773,-0.05934286311454396,0.45787707504273517,0.4320758979277489,0.4449673045725955,1,25.03333333,0.05,6.114773324,4.498352667,-0.0012649800401151768
17,50,2,55.28382845,50,c,0.6091237526412396,-0.517493789432379,0.6676051175150743,0.609,0.081666667,1.964077316,5.257665455,0.0023487544485657477,0.0017094017094017092,0.0029871977244647512,0.020632621153846148,-0.1392045842587773,-0.05934286311454396,0.45787707504273517,0.4320758979277489,0.4449673045725955,2,23.4,0.09,16.82909688,4.981156002,0.0017094017094017092
17,50,2,55.28382845,50,c,0.6091237526412396,-0.517493789432379,0.6676051175150743,0.609,0.081666667,1.964077316,5.257665455,0.0023487544485657477,0.0017094017094017092,0.0029871977244647512,0.020632621153846148,-0.1392045842587773,-0.05934286311454396,0.45787707504273517,0.4320758979277489,0.4449673045725955,3,23.43333333,0.16,26.95407542,1.719128578,0.0029871977244647512
19,30,4,16.58514854,30,b,0,-0.38302408326335724,-0.05299717536479502,0,0.081666667,1.964077316,5.257665455,0.0019230769230769234,0.0012802275961991789,0.0025677603420017465,-0.17276115723652363,0.12832192247812813,-0.022434063995726488,0.34102202462887937,0.30200910338059783,0.321543350982906,1,25.48333333,0.05,0.715952594,7.221291225,-0.0012426422630794822
19,30,4,16.58514854,30,b,0,-0.38302408326335724,-0.05299717536479502,0,0.081666667,1.964077316,5.257665455,0.0019230769230769234,0.0012802275961991789,0.0025677603420017465,-0.17276115723652363,0.12832192247812813,-0.022434063995726488,0.34102202462887937,0.30200910338059783,0.321543350982906,2,23.43333333,0.08,8.70723537,3.172921441,0.0012802275961991789
19,30,4,16.58514854,30,b,0,-0.38302408326335724,-0.05299717536479502,0,0.081666667,1.964077316,5.257665455,0.0019230769230769234,0.0012802275961991789,0.0025677603420017465,-0.17276115723652363,0.12832192247812813,-0.022434063995726488,0.34102202462887937,0.30200910338059783,0.321543350982906,3,23.36666667,0.14,15.76418142,6.17137703,0.0025677603420017465
20,30,17,3.902387891,30,b,0,0.4910290068352842,-0.2891609521388534,0,0.081666667,1.964077316,5.257665455,0.003563791881428097,0.002135231316422031,0.00499643113490364,0.0712876764453683,0.06815697524625264,0.0697245572794209,NA,NA,0.5957920437137709,1,25.51666667,0.04,0.138389647,4.81869838,-0.0016329196732027538
20,30,17,3.902387891,30,b,0,0.4910290068352842,-0.2891609521388534,0,0.081666667,1.964077316,5.257665455,0.003563791881428097,0.002135231316422031,0.00499643113490364,0.0712876764453683,0.06815697524625264,0.0697245572794209,NA,NA,0.5957920437137709,2,23.41666667,0.09,NA,6.488018137,0.002135231316422031
20,30,17,3.902387891,30,b,0,0.4910290068352842,-0.2891609521388534,0,0.081666667,1.964077316,5.257665455,0.003563791881428097,0.002135231316422031,0.00499643113490364,0.0712876764453683,0.06815697524625264,0.0697245572794209,NA,NA,0.5957920437137709,3,23.35,0.206666667,28.00159756,8.079483509,0.00499643113490364
21,50,17,6.503979818,50,c,0.6091237526412396,0.4910290068352842,-0.24071710051151354,0.609,0.081666667,1.964077316,5.257665455,0.003633772710561628,0.002121640735202031,0.0051687006453454845,-0.21658868530175548,0.24231834117123932,0.011148218110274576,0.6264055985394051,0.6822355364418902,0.6541117273239598,1,25.23333333,0.04,0.425106659,9.784056926,-0.0016512549671930323
21,50,17,6.503979818,50,c,0.6091237526412396,0.4910290068352842,-0.24071710051151354,0.609,0.081666667,1.964077316,5.257665455,0.003633772710561628,0.002121640735202031,0.0051687006453454845,-0.21658868530175548,0.24231834117123932,0.011148218110274576,0.6264055985394051,0.6822355364418902,0.6541117273239598,2,23.56666667,0.09,15.1873986,4.679783575,0.002121640735202031
21,50,17,6.503979818,50,c,0.6091237526412396,0.4910290068352842,-0.24071710051151354,0.609,0.081666667,1.964077316,5.257665455,0.003633772710561628,0.002121640735202031,0.0051687006453454845,-0.21658868530175548,0.24231834117123932,0.011148218110274576,0.6264055985394051,0.6822355364418902,0.6541117273239598,3,23.21666667,0.21,31.02663364,10.30560773,0.0051687006453454845
22,30,2,33.17029707,30,b,0,-0.517493789432379,0.25583237867337505,0,0.081666667,1.964077316,5.257665455,0.0027817403710971283,0.0014164305809371714,0.0041666666810344834,0.02893439498993404,0.7900814095689654,0.40679339797480696,0.24111038123811762,0.47607784081896554,0.35775613864178,1,25.28333333,0.04,0.422712992,3.697488386,-0.0016479894662686865
